frame,id,x,y,lat,lon,alt_m
frame4_frame_0008.png,left_mountain_settlement,314.50,299.50,34.53971677,73.01767243,1266.15
frame4_frame_0008.png,left_mountain_top,513.50,201.50,34.54406100,73.03198300,1700.15
frame4_frame_0008.png,masjid,128.50,297.50,34.54017792,73.01209951,1309.02
frame4_frame_0008.png,middle_mountain_settlement,399.50,281.50,34.53824161,73.01838522,1273.63
frame4_frame_0008.png,right_mountain_tl,317.50,103.50,34.53988900,73.03336700,1824.18
frame4_frame_0008.png,right_mountain_top,409.50,86.50,34.54149200,73.03246400,1797.00
frame4_frame_0008.png,right_settlement,480.50,271.50,34.53688402,73.01976135,1274.01
frame4_frame_0008.png,topleft_settlement,285.50,269.50,34.54124921,73.01989788,1300.33
frame4_frame_0009.png,left_mountain_settlement,208.08,300.60,34.53971677,73.01767243,1266.15
frame4_frame_0009.png,left_mountain_top,234.47,121.15,34.54406100,73.03198300,1700.15
frame4_frame_0009.png,masjid,16.31,301.77,34.54017792,73.01209951,1309.02
frame4_frame_0009.png,middle_mountain_settlement,293.11,281.83,34.53824161,73.01838522,1273.63
frame4_frame_0009.png,right_mountain_tl,387.53,75.41,34.53988900,73.03336700,1824.18
frame4_frame_0009.png,right_mountain_top,303.67,87.14,34.54149200,73.03246400,1797.00
frame4_frame_0009.png,right_settlement,373.45,272.45,34.53688402,73.01976135,1274.01
frame4_frame_0009.png,topleft_settlement,177.58,271.28,34.54124921,73.01989788,1300.33
frame4_frame_0010.png,house_1_topleft_settlement4,453.50,284.50,34.53333497,73.01884281,1290.17
frame4_frame_0010.png,house_2_topright_settlement4,516.50,281.50,34.53211676,73.01869130,1285.62
frame4_frame_0010.png,leftsettlement_leftside,511.50,289.50,34.53216100,73.01852500,1281.73
frame4_frame_0010.png,leftsettlement_rightrisde,446.50,289.50,34.53355600,73.01836100,1278.16
frame4_frame_0010.png,mountain_left_top,200.50,98.50,34.54189200,73.03198900,1741.73
frame4_frame_0010.png,mountain_right_center,550.50,164.50,34.53082300,73.02363400,1489.73
frame4_frame_0010.png,rr_settlement_r,516.50,277.50,34.52817800,73.01840000,1274.73
frame4_frame_0010.png,settlement_left_mid,199.50,280.50,34.53845600,73.02052500,1287.87
frame4_frame_0011.png,house_1_topleft_settlement4,347.65,285.35,34.53333497,73.01884281,1290.17
frame4_frame_0011.png,house_2_topright_settlement4,409.81,281.25,34.53211676,73.01869130,1285.62
frame4_frame_0011.png,leftsettlement_leftside,404.53,289.46,34.53216100,73.01852500,1281.73
frame4_frame_0011.png,leftsettlement_rightrisde,341.32,290.41,34.53355600,73.01836100,1278.16
frame4_frame_0011.png,mountain_left_top,91.97,96.12,34.54189200,73.03198900,1741.73
frame4_frame_0011.png,mountain_right_center,443.14,165.73,34.53082300,73.02363400,1489.73
frame4_frame_0011.png,rr_settlement_left,571.08,285.35,34.52944400,73.01832200,1281.90
frame4_frame_0011.png,rr_settlement_r,622.69,282.42,34.52817800,73.01840000,1274.73
frame4_frame_0011.png,settlement_left_mid,90.93,283.14,34.53845600,73.02052500,1287.87
frame4_frame_0012.png,house_1_topleft_settlement4,238.50,278.50,34.53333497,73.01884281,1290.17
frame4_frame_0012.png,house_2_topright_settlement4,304.50,282.50,34.53211676,73.01869130,1285.62
frame4_frame_0012.png,leftsettlement_leftside,299.50,290.50,34.53216100,73.01852500,1281.73
frame4_frame_0012.png,mountain_left_top,187.50,199.50,34.54189200,73.03198900,1741.73
frame4_frame_0012.png,mountain_right_center,337.50,168.50,34.53082300,73.02363400,1489.73
frame4_frame_0012.png,rr_settlement_r,512.50,281.50,34.52817800,73.01840000,1274.73
frame4_frame_0013.png,house_1_topleft_settlement4,131.50,281.50,34.53333497,73.01884281,1290.17
frame4_frame_0013.png,house_2_topright_settlement4,198.50,284.50,34.53211676,73.01869130,1285.62
frame4_frame_0013.png,leftsettlement_leftside,194.50,292.50,34.53216100,73.01852500,1281.73
frame4_frame_0013.png,mountain_left_top,79.50,201.50,34.54189200,73.03198900,1741.73
frame4_frame_0013.png,mountain_right_center,232.50,169.50,34.53082300,73.02363400,1489.73
frame4_frame_0013.png,rr_settlement_r,405.50,282.50,34.52817800,73.01840000,1274.73
frame4_frame_0014.png,house_1_topleft_settlement4,21.50,286.50,34.53333497,73.01884281,1290.17
frame4_frame_0014.png,house_2_topright_settlement4,90.50,287.50,34.53211676,73.01869130,1285.62
frame4_frame_0014.png,leftsettlement_leftside,86.50,295.50,34.53216100,73.01852500,1281.73
frame4_frame_0014.png,mountain_left_top,205.50,191.50,34.54189200,73.03198900,1741.73
frame4_frame_0014.png,mountain_right_center,125.50,170.50,34.53082300,73.02363400,1489.73
frame4_frame_0014.png,rr_settlement_r,301.50,283.50,34.52817800,73.01840000,1274.73
