azimuth_deg,horizon_elev_deg
0.00,4.5985
0.10,4.5985
0.20,4.5985
0.30,4.6566
0.40,4.6566
0.50,4.7150
0.60,4.7150
0.70,4.7150
0.80,4.7345
0.90,4.7345
1.00,4.7053
1.10,4.7053
1.20,4.7053
1.30,4.6469
1.40,4.6469
1.50,4.5593
1.60,4.5593
1.70,4.5199
1.80,4.4815
1.90,4.4815
2.00,4.4414
2.10,4.4414
2.20,4.4414
2.30,4.4997
2.40,4.4997
2.50,4.5591
2.60,4.5591
2.70,4.5591
2.80,4.5492
2.90,4.5492
3.00,4.5393
3.10,4.5195
3.20,4.5195
3.30,4.5195
3.40,4.5195
3.50,4.5195
3.60,4.4997
3.70,4.4997
3.80,4.4875
3.90,4.4699
4.00,4.4699
4.10,4.4457
4.20,4.4204
4.30,4.4091
4.40,4.4046
4.50,4.3709
4.60,4.3225
4.70,4.3114
4.80,4.2991
4.90,4.2619
5.00,4.2619
5.10,4.2124
5.20,4.2124
5.30,4.1925
5.40,4.1925
5.50,4.1925
5.60,4.2024
5.70,4.2024
5.80,4.2124
5.90,4.2124
6.00,4.2124
6.10,4.2421
6.20,4.2421
6.30,4.2421
6.40,4.2421
6.50,4.2421
6.60,4.2520
6.70,4.2124
6.80,4.2124
6.90,4.2124
7.00,4.2124
7.10,4.2223
7.20,4.2223
7.30,4.2223
7.40,4.2322
7.50,4.2322
7.60,4.2421
7.70,4.2421
7.80,4.2421
7.90,4.2322
8.00,4.2322
8.10,4.2124
8.20,4.2124
8.30,4.2124
8.40,4.2024
8.50,4.2024
8.60,4.2024
8.70,4.2124
8.80,4.2124
8.90,4.2124
9.00,4.1628
9.10,4.1628
9.20,4.1628
9.30,4.1628
9.40,4.1628
9.50,4.1628
9.60,4.1663
9.70,4.1663
9.80,4.1663
9.90,4.1860
10.00,4.1860
10.10,4.1565
10.20,4.1565
10.30,4.1565
10.40,4.1369
10.50,4.1369
10.60,4.1270
10.70,4.1270
10.80,4.1270
10.90,4.1369
11.00,4.1406
11.10,4.1796
11.20,4.1796
11.30,4.1893
11.40,4.1893
11.50,4.1893
11.60,4.1762
11.70,4.1698
11.80,4.1406
11.90,4.1406
12.00,4.1406
12.10,4.1270
12.20,4.1114
12.30,4.1074
12.40,4.0821
12.50,4.0821
12.60,4.0582
12.70,4.0334
12.80,4.0139
12.90,4.1309
13.00,4.1309
13.10,4.1309
13.20,4.1309
13.30,4.1309
13.40,4.1309
13.50,4.1309
13.60,4.1309
13.70,4.1309
13.80,4.1309
13.90,4.1309
14.00,4.0425
14.10,4.0245
14.20,4.0245
14.30,4.0245
14.40,4.0245
14.50,4.0245
14.60,4.0653
14.70,4.0653
14.80,4.0653
14.90,4.0653
15.00,4.0653
15.10,4.0042
15.20,3.9838
15.30,3.9838
15.40,3.9838
15.50,3.9838
15.60,3.9838
15.70,3.9168
15.80,3.9168
15.90,3.9168
16.00,3.9628
16.10,3.9403
16.20,3.9904
16.30,4.0042
16.40,4.0042
16.50,4.0456
16.60,4.0771
16.70,4.0915
16.80,4.1136
16.90,4.1136
17.00,4.1136
17.10,4.0992
17.20,4.0863
17.30,4.1209
17.40,4.1209
17.50,4.1529
17.60,4.1529
17.70,4.1529
17.80,4.2548
17.90,4.3530
18.00,4.3530
18.10,4.3530
18.20,4.3334
18.30,4.3334
18.40,4.3235
18.50,4.3235
18.60,4.3235
18.70,4.3062
18.80,4.3549
18.90,4.3549
19.00,4.4467
19.10,4.4467
19.20,4.4576
19.30,4.5315
19.40,4.5315
19.50,4.5556
19.60,4.5558
19.70,4.5558
19.80,4.5558
19.90,4.5440
20.00,4.5440
20.10,4.5919
20.20,4.6391
20.30,4.6391
20.40,4.6391
20.50,4.6273
20.60,4.6273
20.70,4.6273
20.80,4.6330
20.90,4.7069
21.00,4.7431
21.10,4.7511
21.20,4.8558
21.30,4.8558
21.40,4.8907
21.50,5.0046
21.60,5.0046
21.70,5.0046
21.80,5.0072
21.90,5.0345
22.00,5.0345
22.10,5.0498
22.20,5.0498
22.30,5.0592
22.40,5.0876
22.50,5.0876
22.60,5.1260
22.70,5.1260
22.80,5.1260
22.90,5.1149
23.00,5.1149
23.10,5.1149
23.20,5.1540
23.30,5.1540
23.40,5.1540
23.50,5.1315
23.60,5.1653
23.70,5.1653
23.80,5.1653
23.90,5.1653
24.00,5.2166
24.10,5.1090
24.20,5.1090
24.30,5.1090
24.40,5.1712
24.50,5.1712
24.60,5.1712
24.70,5.1825
24.80,5.1825
24.90,5.3264
25.00,5.3264
25.10,5.3264
25.20,5.3264
25.30,5.3608
25.40,5.3379
25.50,5.3573
25.60,5.3608
25.70,5.3608
25.80,5.3608
25.90,5.3920
26.00,5.3920
26.10,5.4091
26.20,5.4590
26.30,5.4700
26.40,5.4700
26.50,5.5058
26.60,5.5811
26.70,5.5811
26.80,5.5878
26.90,5.5921
27.00,5.5947
27.10,5.5947
27.20,5.5947
27.30,5.5581
27.40,5.5959
27.50,5.5959
27.60,5.5254
27.70,5.5254
27.80,5.4657
27.90,5.4657
28.00,5.5493
28.10,5.5374
28.20,5.5374
28.30,5.5374
28.40,5.5374
28.50,5.4537
28.60,5.4537
28.70,5.4537
28.80,5.6688
28.90,5.6688
29.00,5.6688
29.10,5.6688
29.20,5.7763
29.30,5.7763
29.40,5.7763
29.50,5.8002
29.60,5.8002
29.70,5.8002
29.80,5.8002
29.90,5.8240
30.00,5.8240
30.10,5.8240
30.20,5.7655
30.30,5.7655
30.40,5.7655
30.50,5.7046
30.60,5.8021
30.70,5.8021
30.80,5.8021
30.90,5.8021
31.00,5.8874
31.10,5.8874
31.20,5.7533
31.30,5.7655
31.40,5.7655
31.50,5.7655
31.60,5.7655
31.70,5.7784
31.80,5.7784
31.90,5.7784
32.00,5.7784
32.10,5.7414
32.20,5.7414
32.30,5.7414
32.40,5.7784
32.50,5.8165
32.60,5.8165
32.70,5.8165
32.80,5.8165
32.90,5.8429
33.00,5.8429
33.10,5.8429
33.20,5.8429
33.30,5.9563
33.40,5.9563
33.50,5.9563
33.60,5.9563
33.70,6.0227
33.80,6.0193
33.90,6.0193
34.00,6.0571
34.10,6.0948
34.20,6.0948
34.30,6.0948
34.40,6.0864
34.50,6.1501
34.60,6.1501
34.70,6.1501
34.80,6.1501
34.90,6.3409
35.00,6.3409
35.10,6.3409
35.20,6.3536
35.30,6.4299
35.40,6.4299
35.50,6.4299
35.60,6.4299
35.70,6.3738
35.80,6.3738
35.90,6.3738
36.00,6.3738
36.10,6.3738
36.20,6.3554
36.30,6.3554
36.40,6.3554
36.50,6.3554
36.60,6.3944
36.70,6.3944
36.80,6.3293
36.90,6.3293
37.00,6.3293
37.10,6.4204
37.20,6.4204
37.30,6.4204
37.40,6.4204
37.50,6.4204
37.60,6.4204
37.70,6.4204
37.80,6.4204
37.90,6.4594
38.00,6.4594
38.10,6.4464
38.20,6.4464
38.30,6.4464
38.40,6.4813
38.50,6.4813
38.60,6.4464
38.70,6.4464
38.80,6.4464
38.90,6.5339
39.00,6.5339
39.10,6.5339
39.20,6.5339
39.30,6.6259
39.40,6.6259
39.50,6.6259
39.60,6.6259
39.70,6.6391
39.80,6.7431
39.90,6.7431
40.00,6.7431
40.10,6.7431
40.20,6.7431
40.30,6.7564
40.40,6.8095
40.50,6.8632
40.60,6.8632
40.70,6.8632
40.80,6.9312
40.90,6.9705
41.00,7.1352
41.10,7.1352
41.20,7.1352
41.30,7.1352
41.40,7.2168
41.50,7.2983
41.60,7.2983
41.70,7.2983
41.80,7.2983
41.90,7.3119
42.00,7.3119
42.10,7.2983
42.20,7.2983
42.30,7.2983
42.40,7.2439
42.50,7.2439
42.60,7.3863
42.70,7.3863
42.80,7.3863
42.90,7.3863
43.00,7.3863
43.10,7.5512
43.20,7.5649
43.30,7.5649
43.40,7.5698
43.50,7.6747
43.60,7.6747
43.70,7.6747
43.80,7.6747
43.90,7.8138
44.00,7.8668
44.10,7.8668
44.20,7.8668
44.30,7.8680
44.40,7.8680
44.50,8.0724
44.60,8.0724
44.70,8.0724
44.80,8.0724
44.90,8.0724
45.00,8.2367
45.10,8.2367
45.20,8.2470
45.30,8.2740
45.40,8.2740
45.50,8.3051
45.60,8.3051
45.70,8.3188
45.80,8.3188
45.90,8.3188
46.00,8.3735
46.10,8.3735
46.20,8.3735
46.30,8.3924
46.40,8.4632
46.50,8.4632
46.60,8.5239
46.70,8.5239
46.80,8.5308
46.90,8.6657
47.00,8.6657
47.10,8.7015
47.20,8.7015
47.30,8.7015
47.40,8.7015
47.50,8.8141
47.60,8.9471
47.70,8.9471
47.80,8.9471
47.90,8.9471
48.00,8.9471
48.10,9.1107
48.20,9.1107
