azimuth_deg,horizon_elev_deg
0.00,4.8807
0.10,4.9111
0.20,4.9047
0.30,4.8754
0.40,4.8802
0.50,4.8748
0.60,4.9088
0.70,4.9815
0.80,5.0150
0.90,5.0004
1.00,4.9711
1.10,4.9347
1.20,4.9200
1.30,4.9417
1.40,4.9946
1.50,5.0750
1.60,5.1660
1.70,5.2281
1.80,5.2762
1.90,5.2818
2.00,5.3484
2.10,5.4019
2.20,5.4236
2.30,5.4268
2.40,5.4370
2.50,5.4315
2.60,5.4343
2.70,5.4282
2.80,5.4296
2.90,5.4217
3.00,5.4221
3.10,5.4428
3.20,5.4014
3.30,5.3745
3.40,5.3350
3.50,5.2973
3.60,5.2389
3.70,5.1729
3.80,5.0428
3.90,4.9856
4.00,4.9529
4.10,4.8882
4.20,4.8679
4.30,4.8263
4.40,4.7681
4.50,4.7020
4.60,4.6792
4.70,4.6300
4.80,4.6357
4.90,4.6205
5.00,4.5863
5.10,4.5539
5.20,4.5101
5.30,4.4778
5.40,4.4433
5.50,4.4885
5.60,4.5547
5.70,4.5577
5.80,4.5469
5.90,4.5207
6.00,4.5194
6.10,4.5002
6.20,4.5146
6.30,4.5247
6.40,4.5002
6.50,4.5123
6.60,4.4880
6.70,4.4453
6.80,4.3945
6.90,4.4476
7.00,4.5104
7.10,4.5379
7.20,4.5378
7.30,4.5466
7.40,4.5095
7.50,4.4173
7.60,4.4252
7.70,4.4736
7.80,4.5177
7.90,4.5732
8.00,4.5704
8.10,4.5447
8.20,4.5134
8.30,4.4978
8.40,4.5006
8.50,4.4337
8.60,4.4109
8.70,4.3953
8.80,4.2984
8.90,4.2528
9.00,4.2443
9.10,4.2443
9.20,4.2728
9.30,4.2913
9.40,4.2956
9.50,4.4038
9.60,4.5234
9.70,4.6600
9.80,4.7258
9.90,4.7173
10.00,4.7062
10.10,4.6694
10.20,4.6622
10.30,4.6206
10.40,4.5862
10.50,4.5574
10.60,4.5300
10.70,4.4894
10.80,4.4560
10.90,4.4064
11.00,4.3831
11.10,4.3168
11.20,4.2984
11.30,4.3055
11.40,4.2299
11.50,4.2157
11.60,4.2168
11.70,4.2814
11.80,4.3127
11.90,4.2969
12.00,4.2814
12.10,4.2881
12.20,4.3334
12.30,4.3745
12.40,4.4326
12.50,4.4780
12.60,4.5311
12.70,4.5638
12.80,4.5963
12.90,4.6004
13.00,4.6970
13.10,4.7529
13.20,4.7756
13.30,4.8195
13.40,4.8674
13.50,4.8794
13.60,4.8954
13.70,4.9022
13.80,4.9102
13.90,4.9301
14.00,4.9380
14.10,4.9857
14.20,5.0175
14.30,5.0175
14.40,5.0215
14.50,5.0200
14.60,5.0160
14.70,5.0081
14.80,5.0279
14.90,5.0398
15.00,5.0556
15.10,5.0754
15.20,5.0833
15.30,5.0992
15.40,5.1111
15.50,5.1071
15.60,5.0992
15.70,5.0754
15.80,5.0556
15.90,5.0517
16.00,5.0556
16.10,5.0635
16.20,5.0891
16.30,5.1289
16.40,5.1150
16.50,5.1269
16.60,5.1626
16.70,5.1982
16.80,5.2140
16.90,5.2744
17.00,5.3302
17.10,5.3831
17.20,5.4149
17.30,5.4348
17.40,5.4387
17.50,5.4467
17.60,5.4625
17.70,5.4665
17.80,5.4189
17.90,5.4030
18.00,5.3593
18.10,5.3394
18.20,5.3236
18.30,5.3236
18.40,5.3116
18.50,5.2918
18.60,5.2759
18.70,5.2362
18.80,5.2106
18.90,5.1986
19.00,5.1667
19.10,5.1547
19.20,5.1468
19.30,5.1707
19.40,5.1986
19.50,5.2106
19.60,5.1826
19.70,5.1906
19.80,5.1487
19.90,5.1111
20.00,5.0952
20.10,5.0776
20.20,5.0816
20.30,5.0405
20.40,5.0021
20.50,4.9890
20.60,5.0318
20.70,5.0031
20.80,4.9963
20.90,5.0040
21.00,5.0487
21.10,5.0679
21.20,5.0717
21.30,5.0448
21.40,5.0050
21.50,4.9730
21.60,4.9514
21.70,4.9766
21.80,4.9879
21.90,5.0227
22.00,5.0415
22.10,5.0586
22.20,5.0399
22.30,5.0391
22.40,5.0465
22.50,5.0206
22.60,5.0083
22.70,5.0331
22.80,5.0611
22.90,5.1080
23.00,5.1446
23.10,5.1664
23.20,5.1573
23.30,5.2118
23.40,5.2118
23.50,5.2746
23.60,5.3145
23.70,5.3374
23.80,5.3332
23.90,5.3644
24.00,5.4252
24.10,5.4642
24.20,5.4880
24.30,5.5079
24.40,5.5079
24.50,5.4518
24.60,5.4780
24.70,5.5463
24.80,5.5400
24.90,5.5400
25.00,5.5214
25.10,5.5214
25.20,5.5090
25.30,5.6076
25.40,5.6331
25.50,5.6570
25.60,5.6958
25.70,5.7716
25.80,5.8857
25.90,5.9464
26.00,5.9958
26.10,6.0434
26.20,6.1191
26.30,6.1724
26.40,6.2357
26.50,6.2690
26.60,6.3460
26.70,6.3694
26.80,6.4029
26.90,6.4217
27.00,6.4452
27.10,6.4620
27.20,6.4654
27.30,6.7341
