azimuth_deg,horizon_elev_deg
0.00,4.8698
0.10,4.8757
0.20,4.8728
0.30,4.8569
0.40,4.8817
0.50,4.9094
0.60,4.9279
0.70,4.9792
0.80,5.0317
0.90,5.0338
1.00,4.9890
1.10,4.9626
1.20,4.9282
1.30,4.9149
1.40,4.9976
1.50,5.0472
1.60,5.1073
1.70,5.1701
1.80,5.2188
1.90,5.2587
2.00,5.3254
2.10,5.3797
2.20,5.4080
2.30,5.4024
2.40,5.4067
2.50,5.4143
2.60,5.4146
2.70,5.4104
2.80,5.3974
2.90,5.4011
3.00,5.4101
3.10,5.4246
3.20,5.4067
3.30,5.3625
3.40,5.3375
3.50,5.3167
3.60,5.2477
3.70,5.1812
3.80,5.1032
3.90,5.0308
4.00,4.9608
4.10,4.9050
4.20,4.8489
4.30,4.7951
4.40,4.7414
4.50,4.6934
4.60,4.6532
4.70,4.6353
4.80,4.6093
4.90,4.5607
5.00,4.5578
5.10,4.5077
5.20,4.4612
5.30,4.4716
5.40,4.4471
5.50,4.4708
5.60,4.5266
5.70,4.5369
5.80,4.5177
5.90,4.4987
6.00,4.4928
6.10,4.4720
6.20,4.4921
6.30,4.5149
6.40,4.4977
6.50,4.4985
6.60,4.4601
6.70,4.4205
6.80,4.3646
6.90,4.4118
7.00,4.4898
7.10,4.5340
7.20,4.5347
7.30,4.5364
7.40,4.4628
7.50,4.3895
7.60,4.4198
7.70,4.4490
7.80,4.4884
7.90,4.5375
8.00,4.5185
8.10,4.4968
8.20,4.4551
8.30,4.4375
8.40,4.3909
8.50,4.3849
8.60,4.3927
8.70,4.2998
8.80,4.2679
8.90,4.2266
9.00,4.2202
9.10,4.2315
9.20,4.2851
9.30,4.2539
9.40,4.3002
9.50,4.4045
9.60,4.5237
9.70,4.6026
9.80,4.5835
9.90,4.6440
10.00,4.6664
10.10,4.6573
10.20,4.6280
10.30,4.5936
10.40,4.5588
10.50,4.5392
10.60,4.4916
10.70,4.4583
10.80,4.4264
10.90,4.3839
11.00,4.3238
11.10,4.2638
11.20,4.2875
11.30,4.2485
11.40,4.1907
11.50,4.1816
11.60,4.2138
11.70,4.2231
11.80,4.2810
11.90,4.2776
12.00,4.2424
12.10,4.2867
12.20,4.3209
12.30,4.3652
12.40,4.4147
12.50,4.4596
12.60,4.5054
12.70,4.5339
12.80,4.5507
12.90,4.5943
13.00,4.6767
13.10,4.7069
13.20,4.7667
13.30,4.8179
13.40,4.8468
13.50,4.8629
13.60,4.8599
