azimuth_deg,horizon_elev_deg
0.00,4.5431
0.10,4.5772
0.20,4.5772
0.30,4.5772
0.40,4.6301
0.50,4.6301
0.60,4.6733
0.70,4.6733
0.80,4.6733
0.90,4.6499
1.00,4.6499
1.10,4.5930
1.20,4.5930
1.30,4.5930
1.40,4.5328
1.50,4.5328
1.60,4.4654
1.70,4.4654
1.80,4.4654
1.90,4.4530
2.00,4.4530
2.10,4.4312
2.20,4.4312
2.30,4.4312
2.40,4.4225
2.50,4.4225
2.60,4.3821
2.70,4.3821
2.80,4.3821
2.90,4.3872
3.00,4.3872
3.10,4.3872
3.20,4.4405
3.30,4.4405
3.40,4.4487
3.50,4.4487
3.60,4.4487
3.70,4.4141
3.80,4.4108
3.90,4.4090
4.00,4.3899
4.10,4.3408
4.20,4.3408
4.30,4.2668
4.40,4.2625
4.50,4.2486
4.60,4.2305
4.70,4.1863
4.80,4.1863
4.90,4.1863
5.00,4.1101
5.10,4.1101
5.20,4.0992
5.30,4.0992
5.40,4.0992
5.50,4.1165
5.60,4.1165
5.70,4.1454
5.80,4.1454
5.90,4.1454
6.00,4.1450
6.10,4.1450
6.20,4.1413
6.30,4.1413
6.40,4.1413
6.50,4.1127
6.60,4.1127
6.70,4.1410
6.80,4.1410
6.90,4.1410
7.00,4.1914
7.10,4.1914
7.20,4.1914
7.30,4.2251
7.40,4.2251
7.50,4.2062
7.60,4.2062
7.70,4.2062
7.80,4.1692
7.90,4.1692
8.00,4.1669
8.10,4.1669
8.20,4.1669
8.30,4.1529
8.40,4.1529
8.50,4.1363
8.60,4.1363
8.70,4.1363
8.80,4.0966
8.90,4.0966
9.00,4.0966
9.10,4.1106
9.20,4.1106
9.30,4.1182
9.40,4.1182
9.50,4.1182
9.60,4.1026
9.70,4.1026
9.80,4.0891
9.90,4.0891
10.00,4.0990
10.10,4.0990
10.20,4.0566
10.30,4.0566
10.40,4.0566
10.50,4.0386
10.60,4.0386
10.70,4.0386
10.80,4.0477
10.90,4.0477
11.00,4.0944
11.10,4.0944
11.20,4.1020
11.30,4.1020
11.40,4.0846
11.50,4.0846
11.60,4.0846
11.70,4.0168
11.80,4.0168
11.90,4.0131
12.00,4.0264
12.10,4.0264
12.20,4.0264
12.30,3.9909
12.40,3.9909
12.50,3.9931
12.60,3.9931
12.70,3.9533
12.80,3.9533
12.90,3.9533
13.00,3.9561
13.10,3.9561
13.20,3.9561
13.30,3.9561
13.40,3.9561
13.50,3.9561
13.60,3.9561
13.70,3.9561
13.80,3.9561
13.90,3.9561
14.00,3.9706
